"Country","Region","Happiness.Rank","Happiness.Score","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","Happinness State"
"Morocco","Middle East and Northern Africa","84","5.2350001335144","0.87811458110809","0.77486443519592","0.59771066904068","0.40815833210945","0.08776318281889","0.032209955155849","2.4561893939972","Happy"
"Mozambique","Sub-Saharan Africa","113","4.5500001907349","0.2343056499958","0.87070101499557","0.10665443539619","0.48079109191894","0.17943638563156","0.32222810387611","2.3556509017944","Happy"
"Myanmar","Southeastern Asia","114","4.5450000762939","0.3671105504036","1.1232359409332","0.3975225687027","0.51449203491211","0.18881620466709","0.83807516098023","1.1152904033661","Happy"
"Namibia","Southern Asia","111","4.5739998817444","0.96443432569504","1.0984708070755","0.33861181139946","0.52030354738235","0.093146972358227","0.077133744955063","1.4818902015686","Happy"
"Nepal","Western Europe","99","4.9619998931885","0.4798201918602","1.1792832612991","0.50413078069687","0.44030594825745","0.072975546121597","0.39409616589546","1.8912410736084","Happy"
"Netherlands","Australia and New Zealand","6","7.3769998550415","1.5039446353912","1.4289392232895","0.81069612503052","0.58538448810577","0.28266182541847","0.47048982977867","2.2948040962219","Very Happy"
"New Zealand","Latin America and Caribbean","8","7.3140001296997","1.4057060480118","1.5481951236725","0.81675970554352","0.6140621304512","0.38281670212746","0.50000512599945","2.0464563369751","Very Happy"
"Nicaragua","Sub-Saharan Africa","43","6.0710000991821","0.73729920387268","1.2872157096863","0.65309596061706","0.44755184650421","0.13068798184395","0.3016742169857","2.5139305591583","Happy"
"Niger","Sub-Saharan Africa","135","4.0279998779297","0.1619253307581","0.99302500486374","0.26850500702858","0.36365869641304","0.13857294619083","0.22867384552956","1.8739833831787","Happy"
"Nigeria","Sub-Saharan Africa","95","5.0739998817444","0.78375625610352","1.215770483017","0.056915730237961","0.3949525654316","0.026121566072106","0.23094719648361","2.3653905391693","Happy"
"North Cyprus","Western Europe","61","5.8099999427795","1.3469113111496","1.1863033771515","0.83464723825455","0.47120362520218","0.15535335242748","0.266845703125","1.5491576194763","Happy"
"Norway","Western Europe","1","7.5370001792908","1.6164631843567","1.5335235595703","0.79666650295258","0.63542258739471","0.31596383452415","0.36201223731041","2.2770266532898","Very Happy"
"Pakistan","Middle East and Northern Africa","80","5.2690000534058","0.72688353061676","0.67269068956375","0.40204778313637","0.23521526157856","0.12434806674719","0.31544601917267","2.7924892902374","Happy"
"Palestinian Territories","Southern Asia","103","4.7750000953674","0.7162492275238","1.1556471586227","0.56566697359085","0.25471106171608","0.089282602071762","0.11417317390442","1.8788902759552","Happy"
"Panama","Middle East and Northern Africa","30","6.4520001411438","1.2337484359741","1.3731925487518","0.70615613460541","0.55002683401108","0.070983923971653","0.21055693924427","2.3071999549866","Happy"
"Paraguay","Latin America and Caribbean","70","5.4930000305176","0.932537317276","1.5072848796845","0.57925069332123","0.47350779175758","0.091065913438797","0.22415065765381","1.6853334903717","Happy"
"Peru","Latin America and Caribbean","63","5.7150001525879","1.0352252721786","1.2187703847885","0.63016611337662","0.45000287890434","0.047049086540937","0.12681971490383","2.2072694301605","Happy"
"Philippines","Latin America and Caribbean","72","5.4299998283386","0.85769921541214","1.2539175748825","0.4680090546608","0.58521467447281","0.099331893026829","0.19351342320442","1.9726047515869","Happy"
"Poland","Southeastern Asia","46","5.9730000495911","1.2917878627777","1.4457119703293","0.69947534799576","0.52034211158752","0.059307806193829","0.1584659665823","1.7977228164673","Happy"
"Portugal","Central and Eastern Europe","89","5.1950001716614","1.3151752948761","1.3670430183411","0.79584354162216","0.49846529960632","0.01586945168674","0.095102712512016","1.1076827049255","Happy"
"Qatar","Western Europe","35","6.375","1.8707656860352","1.2742968797684","0.71009808778763","0.60413098335266","0.43929925560951","0.33047387003899","1.1454644203186","Happy"
"Romania","Middle East and Northern Africa","57","5.8249998092651","1.2176839113236","1.1500912904739","0.68515831232071","0.45700374245644","0.00438790069893","0.13351991772652","2.1768314838409","Happy"
"Russia","Central and Eastern Europe","49","5.9629998207092","1.2817780971527","1.4692823886871","0.54734933376312","0.37378311157227","0.032962881028652","0.05226382240653","2.2056074142456","Happy"
"Rwanda","Central and Eastern Europe","151","3.470999956131","0.36874589323997","0.94570702314377","0.3264248073101","0.58184385299683","0.45522001385689","0.25275602936745","0.54006123542786","Happy"
"Saudi Arabia","Sub-Saharan Africa","37","6.3439998626709","1.5306235551834","1.2866775989532","0.5901483297348","0.44975057244301","0.27343225479126","0.14761601388454","2.0654296875","Happy"
"Senegal","Middle East and Northern Africa","115","4.5349998474121","0.47930902242661","1.1796919107437","0.40936285257339","0.37792226672173","0.11546044796705","0.18346889317036","1.7896461486816","Happy"
"Serbia","Sub-Saharan Africa","73","5.3949999809265","1.0693175792694","1.2581897974014","0.65078467130661","0.20871552824974","0.040903780609369","0.22012588381767","1.9470844268799","Happy"
"Sierra Leone","Sub-Saharan Africa","106","4.7090001106262","0.36842092871666","0.9841360449791","0.0055647538974881","0.31869769096375","0.071095176041126","0.2930409014225","2.668459892273","Happy"
"Singapore","Southeastern Asia","26","6.5720000267029","1.6922776699066","1.3538143634796","0.94949239492416","0.54984056949616","0.46430778503418","0.34596598148346","1.2163619995117","Happy"
"Slovakia","Central and Eastern Europe","40","6.0980000495911","1.3253935575485","1.5050592422485","0.71273291110992","0.29581746459007","0.024210851639509","0.13654448091984","2.0977766513824","Happy"
"Slovenia","Central and Eastern Europe","62","5.7579998970032","1.3412059545517","1.4525188207626","0.79082822799683","0.57257580757141","0.045128978788853","0.2426490932703","1.3133172988892","Happy"
"Somalia","Sub-Saharan Africa","93","5.1510000228882","0.022643184289336","0.72115135192871","0.11398913711309","0.60212695598602","0.28241032361984","0.29163131117821","3.1174845695496","Happy"
"South Africa","Sub-Saharan Africa","101","4.8289999961853","1.0546987056732","1.3847886323929","0.1870800703764","0.47924673557281","0.072509497404098","0.13936237990856","1.5109086036682","Happy"
"South Korea","Eastern Asia","55","5.8379998207092","1.401678442955","1.1282744407654","0.90021407604217","0.25792166590691","0.063282668590546","0.20667436718941","1.8803780078888","Happy"
"South Sudan","Sub-Saharan Africa","147","3.5910000801086","0.39724862575531","0.60132312774658","0.16348600387573","0.14706243574619","0.11679351329804","0.28567081689835","1.8795673847198","Happy"
"Spain","Western Europe","34","6.4029998779297","1.3843978643417","1.5320909023285","0.88896059989929","0.40878123044968","0.070914097130299","0.19013357162476","1.9277577400207","Happy"
"Sri Lanka","Southern Asia","120","4.4400000572205","1.0098501443863","1.2599763870239","0.62513083219528","0.56121325492859","0.073653966188431","0.49086356163025","0.41938924789429","Happy"
"Sudan","Sub-Saharan Africa","130","4.1389999389648","0.65951669216156","1.2140085697174","0.29092082381249","0.014995855279267","0.089847519993782","0.18231745064259","1.6870658397675","Happy"
"Sweden","Western Europe","9","7.2839999198914","1.4943872690201","1.4781621694565","0.83087515830994","0.61292409896851","0.38439872860909","0.38539925217629","2.0975379943848","Very Happy"
"Switzerland","Western Europe","4","7.4939999580383","1.5649795532227","1.5169117450714","0.85813128948212","0.62007057666779","0.36700728535652","0.29054927825928","2.2767162322998","Very Happy"
"Syria","Middle East and Northern Africa","152","3.4619998931885","0.77715313434601","0.39610260725021","0.50053334236145","0.081539444625378","0.15134713053703","0.49366372823715","1.0615735054016","Happy"
"Taiwan Province of China","Eastern Asia","33","6.4219999313355","1.4336265325546","1.3845653533936","0.79398423433304","0.36146658658981","0.063829235732555","0.25836047530174","2.1266074180603","Happy"
"Tajikistan","Central and Eastern Europe","96","5.0409998893738","0.52471363544464","1.2714632749557","0.52923512458801","0.47156670689583","0.14637714624405","0.24899764358997","1.8490493297577","Happy"
"Tanzania","Sub-Saharan Africa","153","3.3489999771118","0.51113587617874","1.0419898033142","0.36450928449631","0.39001777768135","0.066035106778145","0.35425636172295","0.62113046646118","Happy"
"Thailand","Southeastern Asia","32","6.4239997863769","1.127868771553","1.4257924556732","0.6472390294075","0.5802007317543","0.031612735241652","0.57212311029434","2.0395083427429","Happy"
